,B cell,Conventional dendritic cell,Endothelial,Fibroblast,Keratinocyte,Macrophage,Malignancy A,Malignancy B,Mast cell,Monocyte,Neutrophil,NK cell,Plasma,Plasmablast,Plasmacytoid dendritic cell,T cell CD4,T cell CD8,T cell regulatory
COL5A1,0.0236559139784946,0,0.0561647727272727,0.739739817699319,0,0.0784816782907118,0,0,0.0401574803149606,0,0,0,0.122235023041475,0.0759842519685039,0,0.0347457627118644,0.0335173501577287,0.0269585253456221
COL5A3,0.00752688172043011,0,0.0663920454545455,0.358927541248414,0.0368717948717949,0.0302142145466622,0.0915552763819096,0.0353467976918243,0.0204724409448819,0,0,0.000189035916824197,0.0404377880184332,0,0.0247747747747748,0.0516949152542373,0.00512618296529968,0.00852534562211982
COL6A1,0.174193548387097,0.169512195121951,0.800767045454545,5.64085900542287,0.139094017094017,0.736845455551865,0.369997487437186,0.351492601268354,0.288188976377953,0.0241935483870968,0.0140167364016736,0.10226843100189,0.912557603686636,0.658661417322835,0.0518018018018018,0.153389830508475,0.312697160883281,0.381797235023041
COL6A2,0.179569892473118,0.145121951219512,1.08002840909091,4.28087285104419,0.0666153846153846,0.573499944647404,0.0246206030150754,0.0379463520539336,0.3,0,0.0140167364016736,0.1117202268431,0.727073732718894,0.32007874015748,0.105855855855856,0.170338983050847,0.34897476340694,0.338018433179724
COL6A3,0.0827956989247312,0.0475609756097561,0.288835227272727,2.73033633321795,0.0262735042735043,0.287437728329459,0.0325100502512563,0.0278337999200137,0.118897637795276,0.0241935483870968,0.0131799163179916,0.0701323251417769,0.336520737327189,0.209842519685039,0.0788288288288288,0.119491525423729,0.147082018927445,0.109907834101382
COL6A6,0.0129032258064516,0,0.00900568181818182,0.0417474327910465,0.0351623931623932,0.0141066090999668,0.0138668341708543,0.0161215220247957,0,0.0564516129032258,0.00397489539748954,0.00207939508506616,0.0162442396313364,0.00511811023622047,0,0,0,0.00161290322580645
COL7A1,0.0290322580645161,0,0.00701704545454545,0.0566314757124726,0.195846153846154,0.0146047824642976,0.0587914572864322,0.215344512369308,0,0,0.0148535564853556,0.000189035916824197,0,0.00511811023622047,0.0157657657657658,0,0.00670347003154574,0.00622119815668203
COL9A2,0.0129032258064516,0,0,0,0,0,0,0,0.0125984251968504,0.0241935483870968,0,0.00586011342155009,0,0.0366141732283465,0.0337837837837838,0.0347457627118644,0.0082807570977918,0.0338709677419355
COL9A3,0.0021505376344086,0,0.0357102272727273,0.0341323410638052,0.0847350427350427,0.037686815011624,0.087786432160804,0.0810532480146261,0.0165354330708661,0.0564516129032258,0.0173640167364017,0,0.0323732718894009,0.00511811023622047,0.0608108108108108,0.000847457627118645,0.0240536277602524,0.0453917050691244
COLEC12,0.0021505376344086,0,0.00673295454545454,0.130474789431176,0.0211452991452992,0.0398455662570575,0.0314547738693467,0.0366037250757013,0.0204724409448819,0.0241935483870968,0.00481171548117155,0.000189035916824197,0.0323732718894009,0,0.00675675675675676,0.0177966101694915,0.0161671924290221,0.0430875576036866
