,B cell,Central venous LSEC,Cholangiocyte,Erythroid,Hepatocyte A,Hepatocyte B,Hepatocyte C,Hepatocyte D,Hepatocyte E,Inflammatory macrophage,NK like cells,Non-inflammatory macrophage,Periportal LSEC,Portal endothelial cells,Stellate cell,T cell CD3 alpha beta,T cell gamma delta
S100A4,0.07643400138217,0.044338768115942,0.0700188166422747,0.172509578544061,0.00646164478230823,0.0460891228729905,0.00966610316118638,0.0253699599256722,0.00373605046094129,0.325297517851071,0.0545421511627907,0.108790288823776,0.1022357389446,0.0355679702048417,0.0561825021235287,0.19573331381733,0.564005029864822
S100A6,0.145772863395531,0.0728713768115942,0.655425465189212,0.134195402298851,0.0118751439760424,0.0658315314468365,0.0221822741811313,0.0464369668883068,0.0254083778101245,0.38701122067324,0.0578125,0.0565717873587275,0.653115239191189,0.139851024208566,0.290195364640214,0.170923594847775,0.239893115372524
S100A8,0,0.00606884057971014,0.00520593769600669,0.0623563218390805,0,0.00542916235780765,0,0,0.00794112890182759,1.43002380142809,0.00257994186046511,0.010108832147342,0,0,0.00248756218905473,0.014893149882904,0.0135491983652939
S100A9,0.0379636028564847,0.0597373188405797,0.0292494250470416,0.222318007662835,0.0124510481455886,0.0806853436119207,0.0258093446669365,0.0610338728815457,0.0693999676532428,3.75457327439646,0.109774709302326,0.0816868982838008,0.0280946901200066,0.039292364990689,0.0363426768596044,0.0761490046838408,0.0729644765796919
S100B,0.021147201105736,0.0402626811594203,0.0284131298348317,0.0173371647509579,0,0.0165695214816208,0.00223735485765534,0,0,0.0320299217953077,0.0371002906976744,0.0180619506069485,0.0269439421338156,0.0132216014897579,0.0227520931925737,0.0402151639344262,0.0462433197107828
S100P,0.0340474545035706,0.040036231884058,0.0413757056240853,0.0546934865900383,0.00893803271135683,0.0417175895459246,0.0195393541116058,0.0171647972776323,0.0103671356946466,0.139306358381503,0.0559956395348837,0.029782335705316,0.0256288015781687,0.0523277467411546,0.0245722606479796,0.0547057962529274,0.0475007859163785
SAA1,0.160516010135913,0.148505434782609,0.164520175621995,0.171551724137931,0.229163787145819,0.590603553633543,2.06246101097645,1.86688606801442,0.539560084101569,0.188949336960218,0.175545058139535,0.186751778987024,0.0777412460956765,0.0709497206703911,0.164725154714234,0.192952283372365,0.210342659541025
SAT1,0.190463026952315,0.211684782608696,0.168074430273887,0.298946360153257,0.589046302695232,0.432711290777475,1.32903878663778,1.20937604943247,0.419553614750121,0.561271676300578,0.243859011627907,1.1291963164504,0.437432188065099,0.0709497206703911,0.159750030336124,0.215346896955504,0.178277271298334
SCG5,0.0345081778392076,0.0404891304347826,0.0514112481706042,0.0460727969348659,0.0171158719189127,0.0509777192817524,0.0744930434851623,0.04971679315826,0.00972020054989487,0.0442706562393744,0.0440043604651163,0.029782335705316,0.0226697353279632,0.0262569832402235,0.0355539376289285,0.0512661007025761,0.0465576862621817
SCGB3A1,0.0280580511402903,0.0531702898550725,0.1143424628894,0.0384099616858238,0,0.0240904390335621,0.00280879703485003,0,0,0.0361101666099966,0.0269258720930233,0.0212013394725827,0.0555482492191353,0.0262569832402235,0.0206285644946002,0.0430693793911007,0.0390128890286074
