,Acinar,B cell,Dendritic cell,Endothelial,Fibroblast,Macrophage,Mast cell,Mesenchymal cell,Monocyte,Neutrophil,NK cell,Pancreatic A cell,Pancreatic D cell,Pancreatic ductal cell,Plasmablast,Plasmacytoid dendritic cell,T cell CD4,T cell CD8,T cell regulatory,Type B pancreatic cell
IL10RA,0.00547000410497885,0.600223964165733,0.845693779904306,0.0287411626080126,0.0471734892787524,0.544583943320483,0.0125831444770795,0.0108476319002635,0.575995451861894,0.0591049817056009,0.282296650717703,0.0932041432557429,0.0381679389312977,0.0123528760911977,0.0342176579660533,0.162907268170426,0.597229916897507,0.595480470724135,0.559210526315789,0.0475233376514109
IL10RB,0.230155142644022,0.110862262038074,0.247208931419458,0.181912804399057,0.140038413026029,0.30938827901826,0.163368159244684,0.101445922498554,0.342925239979883,0.175860774931982,0.150065245759026,0.237358101135191,0.143511450381679,0.283502136147535,0.166466980459278,0.0914786967418546,0.228808864265928,0.219623131903834,0.211988304093567,0.289593878123372
IL11,0.482226399965499,0.217245240761478,0.300239234449761,0.309431461115475,0.360626648320147,0.212950883624939,0.68272149361434,0.258955080007712,0.179236000262393,0.149122807017544,0.16659417137886,0.369892596414784,0.511450381679389,0.503075536398476,0.785708172871202,0.317669172932331,0.17617728531856,0.285466753303011,0.128654970760234,0.695835948663844
IL11RA,0.0739595795351631,0.206606942889138,0.0653907496012759,0.0761292223095051,0.0654196766425869,0.0639909728893046,0.0856439248283931,0.051384872437504,0.0840968228631404,0.0296932169997185,0.10461070030448,0.121163475136643,0.083969465648855,0.0821593523639756,0.0824561403508772,0.043859649122807,0.207756232686981,0.188073063316728,0.184210526315789,0.156632700757222
IL12A,0.0155577100926575,0.100223964165733,0.0199362041467305,0.0322859387274156,0.020485036119711,0.0231047052556073,0.0357449663331342,0.0101150311676627,0.0246867688540004,0.00919410826531569,0.00130491518051327,0.0205825020066506,0.00763358778625954,0.0545558391895716,0.0393667094565683,0.043859649122807,0.060387811634349,0.0316944624936828,0.0453216374269006,0
IL12B,0.0308045918261406,0.100223964165733,0.0426634768740032,0.0234239984289081,0.031051484921454,0.0239814088500921,0.0400975234604466,0.0252554463080779,0.0197013097763103,0.0501923257341214,0.017833840800348,0.0409165615563964,0.0778625954198473,0.0361590366103631,0.0450577663671374,0.0081453634085213,0.028808864265928,0.0495271099559599,0.0730994152046784,0.0748006784278636
IL12RB1,0.0118370339371539,0.0257558790593505,0.0426634768740032,0.0183866849960723,0.0209207659672056,0.0397620735508174,0.0402529719292791,0.00620782726045884,0.0280104082391271,0.0189980298339431,0.0632883862548934,0.0376485877001873,0.0320610687022901,0.029993531861595,0.0369276850663244,0,0.028808864265928,0.100281568117825,0.225877192982456,0.0307763191281935
IL12RB2,0.140464389707844,0.0470324748040314,0.00478468899521532,0.0493568342498036,0.0544174979933494,0.0508404189720336,0.0917064151128638,0.0284300494826811,0.0329958673168172,0.0279106858054226,0.269899956502827,0.0503573749187784,0.0534351145038168,0.0786943719323903,0.0829981457709314,0.0200501253132832,0.0709141274238227,0.188073063316728,0.0592105263157895,0.0169473417112942
IL13RA1,0.394198722505027,0.206606942889138,0.444178628389155,0.265588177533386,0.207685471849559,0.533585298226039,0.182954666317589,0.179834200886832,0.352065248288982,0.200816211652125,0.121139625924315,0.275121354584719,0.467175572519084,0.364044235244313,0.17188703465982,0.198621553884712,0.144598337950139,0.122229441917551,0.156432748538012,0.358231279798074
IL15,0.0296513643064902,0.0683090705487122,0.0199362041467305,0.0665210133542812,0.0342649925467263,0.0390447706098753,0.0453827714007543,0.0169526380052696,0.046290424857324,0.0475185289426775,0.0219660722053067,0.0365592630814509,0.0381679389312977,0.055893637389776,0.0404507202966767,0.0557644110275689,0.0393351800554017,0.048155367843477,0.0730994152046784,0.00743199027764793
IL15RA,0.61581870368921,0.164053751399776,0.216905901116427,0.355606834249804,0.348153881435615,0.235904577735084,0.489654495324274,0.333680354732986,0.239061509194673,0.0796040904400037,0.170726402783819,0.486087222413332,0.29618320610687,0.532324292079964,0.511453430323777,0.115288220551378,0.228808864265928,0.301927658652805,0.100877192982456,0.491319328516674
IL16,0.0740142061018833,1.49384098544233,0.595693779904306,0.119039670070699,0.243360853113175,0.347245934234646,0.131656671602837,0.195707216759848,0.364528895983207,0.19012102448635,0.517833840800348,0.08703130374957,0.0732824427480916,0.0742904399689844,0.132591641705891,0.365288220551378,0.923545706371191,0.883546314345535,0.753654970760234,0.0369930153981757
IL17A,0.0003533156888458,0.0895856662933931,0.0426634768740032,0.0135359387274156,0.0101909184726522,0.00788194284228145,0.00496616950428302,0.00816142921406079,0,0.00562904587672389,0,0.0165883117379505,0.0366412213740458,0.0197481580674829,0.00196833547282841,0.0319548872180451,0.00775623268698061,0.0193487834813371,0.100877192982456,0.0159323708917053
IL17B,0.107324272564206,0.0151175811870101,0.0956937799043062,0.0832187745483111,0.0934697855750487,0.0568179434798841,0.159792844461535,0.0555362765889082,0.0496140642424507,0.0332582793883104,0.0880817746846455,0.119711042311662,0.102290076335878,0.115055893200058,0.190857224361717,0.0557644110275689,0.0393351800554017,0.0920511154429283,0.0314327485380117,0.135318313545854
IL17D,0.0967752755686673,0.0576707726763718,0.0199362041467305,0.069692655145326,0.0778379772961816,0.0631142692948199,0.107562158933787,0.0582224792751109,0.0359040517788031,0.0412796697626419,0.121139625924315,0.100466307380652,0.105343511450382,0.109555132898596,0.103865354443018,0.0795739348370927,0.0814404432132964,0.0605010468558227,0.0314327485380117,0.130370330800358
IL17RA,0.0876587085449048,0.174692049272116,0.163875598086124,0.0902150432050275,0.0860079119367045,0.28739098882937,0.050357122403397,0.0882591093117409,0.500798110773402,0.334506051224317,0.150065245759026,0.0510835913312694,0.0564885496183206,0.0929199031047502,0.054813863928113,0.0914786967418546,0.134072022160665,0.149664284167208,0.0453216374269006,0.0460008814220275
IL17RB,0.143948350740893,0.0363941769316909,0.0956937799043062,0.05635310290652,0.0623151014791882,0.0381680670153906,0.161813674556358,0.0399074609600925,0.0346576870093805,0.0332582793883104,0.0467594606350587,0.217024041585445,0.12824427480916,0.192648188811914,0.125545571245186,0.0676691729323308,0.144598337950139,0.0550140784058913,0.0314327485380117,0.331461424431416
