,B cell,Endothelial,Fibroblast,Glomerular endothelium,Macrophage,Malignancy A,Malignancy B,Mast cell,Mesangial cell,Monocyte,Myofibroblast A,Myofibroblast B,Neutrophil,NK cell,Pelvic epithelium,Plasma,Plasmablast,Podocyte,Principal cell,Smooth muscle,T cell,Transitional urothelium,Tubule,Type A intercalated cell
NKX3-1,0.0174511649799953,0.00724622910721565,0.00917535545023697,0.0175141242937853,0.00385674931129476,0.0298072786715994,0.0343417128248828,0,0.00657476139978791,0.00665591893136803,0.00492039800995025,0.00484720758693361,0,0.00264450321118247,0,0.0190965092402464,0.00808569454042847,0.00370689655172414,0,0.0033026113671275,0.00698377506802378,0,0.00880144965053067,0
NKX6-1,0.0132148740880207,0.0214125560538117,0.0243412322274882,0,0.00771349862258953,0.0573388970145401,0.0756710694503622,0.0132530120481928,0.00692824319547543,0.00481345002303086,0.0161641791044776,0.013277133825079,0.0094272076372315,0.0132225160559124,0,0.00882956878850103,0.0187975120939876,0.0502586206896552,0,0.0155913978494624,0.00879774261815983,0,0.0450427129174217,0.0471428571428571
NLGN3,0.0226288538479642,0.0151956787607012,0.0167582938388626,0,0.0143250688705234,0.0424546158478878,0.030080954409885,0.0253012048192771,0.0132909155178508,0.011262091202211,0.0140746268656716,0.0178433438707411,0,0.011333585190782,0,0.0108829568788501,0.00843123704215618,0.0106034482758621,0,0.0175115207373272,0.0119217978433941,0,0.0207092932953663,0.0185714285714286
NLGN4X,0.000506001412096963,0,0.00159241706161137,0.00621468926553672,0,0,0,0.00120481927710843,0,0,0,0.000105374077976816,0,0,0,0,0,0,0,0,0,0,0,0
NLK,0.0174511649799953,0.0467896453322462,0.0338199052132701,0.0344632768361582,0.0206611570247934,0.103454357738966,0.0466979122283767,0.0253012048192771,0.00975609756097561,0.0181713496084754,0.0134776119402985,0.0127502634351949,0,0.022667170381564,0,0.0242299794661191,0.0143054595715273,0.0485344827586207,0,0.0105990783410138,0.0195807719439686,0,0.0639399430494434,0.0185714285714286
NLN,0.0209814073899741,0.0366999592335915,0.0353364928909953,0.011864406779661,0.0247933884297521,0.272429665318765,0.088027268853856,0.0132530120481928,0.0143513609049134,0.022316904652234,0.0214378109452736,0.0282051282051282,0.00465393794749403,0.017000377786173,0,0.0293634496919918,0.0132688320663442,0.0468103448275862,0,0.0125192012288786,0.0267358661695052,0,0.0714470618690137,0.0471428571428571
NLRC3,0.0228642033419628,0.0168263350998777,0.00671090047393365,0,0.00771349862258953,0.0217198657833606,0.0177247550063911,0,0.00657476139978791,0.00665591893136803,0.00969651741293532,0.0120477695820162,0.0022673031026253,0.0521344918775973,0,0.0129363449691992,0.0212163096060815,0,0,0.00368663594470046,0.0577748664718331,0,0.00983691431529899,0.0757142857142857
NLRC4,0.0186279124499882,0.0110171218915614,0.0122085308056872,0,0.021763085399449,0.0344532392669707,0.0437153813378781,0.0132530120481928,0.00692824319547543,0.0361354214647628,0.00691044776119403,0.0127502634351949,0.0189737470167064,0.0128447298828863,0,0.0180698151950719,0.0156876295784381,0.00370689655172414,0,0.000614439324116743,0.0107124861433034,0,0.039347657261196,0.104285714285714
NLRC5,0.0878206636855731,0.0521911944557684,0.0366635071090047,0.00621468926553672,0.0206611570247934,0.0363460380280478,0.0130379207498935,0.00120481927710843,0.0185931424531637,0.0365960386918471,0.0226318407960199,0.0304882332279593,0.0118138424821002,0.06724593879864,0,0.0447638603696099,0.0364201796821009,0.00370689655172414,0,0.0132872503840246,0.102015519500151,0,0.0253688842868237,0
NLRP1,0.0736996940456578,0.116500203832042,0.0508815165876777,0.00056497175141243,0.0473829201101928,0.0563064613266799,0.0432893054963783,0.0373493975903614,0.0383881230116649,0.0688392445877476,0.0249203980099503,0.0394450298559888,0.00465393794749403,0.0736683037400831,0,0.0683778234086242,0.0498963372494817,0.00543103448275862,0,0.0217357910906298,0.113403204676005,0,0.0240745534558633,0
