,Acinar A,Acinar B,Active stellate,Alpha cells,Beta cells,Delta cells,Ductal,Epsilon cells,Gamma cells,Macrophage,Quiescent stellate
CHD1L,0.0104197482168096,0.0155791829882485,0.0112531328320802,0.0430364372469636,0.0177906976744186,0.00392523364485981,0.01119488296135,0,0.0108108108108108,0.00575596816976127,0.00861800666913672
CHD3,0.0371429510567663,0.043559037493005,0.0425814536340852,0.121983805668016,0.0517054263565892,0.00392523364485981,0.104961894393032,0.235,0.0108108108108108,0.0680901856763926,0.0501148573545758
CHD4,0.0447358906090787,0.0550307778399552,0.060125313283208,0.0673279352226721,0.0691472868217054,0.0226168224299065,0.0501170386499728,0.485,0.0378378378378378,0.0614588859416446,0.0401111522786217
CHD5,0.00292541826907274,0.00326804700615557,0.0062406015037594,0.0410121457489879,0.0139147286821705,0,0.00874523679912901,0,0,0.00708222811671087,0.00861800666913672
CHD6,0.0208066265654275,0.0208953553441522,0.0024812030075188,0.032914979757085,0.0652713178294574,0.06,0.0282063146434404,0,0,0.0110610079575597,0.0149166357910337
CHD8,0.00693554218847582,0.0111024062674874,0.0087468671679198,0.0126720647773279,0.0206976744186047,0.0226168224299065,0.0163663581927055,0,0.0108108108108108,0.0123872679045093,0.0071359762875139
CHD9NB,0.00884199454360188,0.0152993844432009,0.01,0.0389878542510121,0.0236046511627907,0.0413084112149533,0.0223543821448013,0,0,0.0190185676392573,0.00898851426454242
CHDH,0.0157446668638859,0.0172579742585339,0.0024812030075188,0.0167206477732793,0.0051937984496124,0,0.0305198693522047,0,0.0108108108108108,0.00840848806366048,0.00565394590589107
CHEK1,0.000591657627452915,0,0,0.00862348178137652,0,0.0132710280373832,0.006295590636908,0,0,0.00442970822281167,0.000837347165616896
CHEK2,0.000328698681918286,0.00522663682148853,0.0150125313283208,0.00862348178137652,0.000348837209302325,0,0.00561513336962439,0,0,0.00840848806366048,0.00306039273805113
CHERP,0.020510797751701,0.026211527700056,0.022531328320802,0.0308906882591093,0.041046511627907,0.0506542056074766,0.0332416984213391,0,0,0.0256498673740053,0.0234383104853649
CHFR,0.0111100154488381,0.0183771684387241,0.0237844611528822,0.0248178137651822,0.0226356589147287,0.06,0.020040827436037,0,0.0648648648648649,0.0163660477453581,0.0104705446461652
CHGA,0.00111757551852217,0,0.0049874686716792,2.37906882591093,0.545891472868217,0.807663551401869,0.00126020685900925,1.235,1.14594594594595,0.00442970822281167,0
CHGB,0,0,0.0074937343358396,1.13008097165992,0.22515503875969,0.527289719626168,0,1.235,1.52432432432432,0,0
CHI3L1,0.0299444499227558,0.0511135982092893,0.798220551378446,0.0268421052631579,0.0294186046511628,0.00392523364485981,0.0608682634730539,0,0.0108108108108108,0.220610079575597,0.236850685439051
CHI3L2,0.000525917891069257,0.000749860100727476,0,0,0.00713178294573643,0,0.00370985302123026,0,0.0108108108108108,0.00708222811671087,0
CHIA,0.00318837721460737,0.00354784555120313,0.003734335839599,0.000526315789473684,0.00713178294573643,0,0.00289330430048993,0.235,0,0.00177718832891247,0
CHIC1,0,0.00242865137101287,0,0.00255060728744939,0.0129457364341085,0.0132710280373832,0.00575122482308111,0,0,0,0
CHIC2,0.01725668080071,0.0192165640738668,0.0237844611528822,0.0349392712550607,0.0362015503875969,0.0319626168224299,0.0287506804572673,0,0.0108108108108108,0.0296286472148541,0.0241793256761764
CHID1,0.0446372810045032,0.0457974258533856,0.016265664160401,0.117935222672065,0.0526744186046512,0.0693457943925234,0.0424959172563963,0.485,0.118918918918919,0.066763925729443,0.0330715079659133
