,B cell,Central venous LSEC,Cholangiocyte,Erythroid,Hepatocyte A,Hepatocyte B,Hepatocyte C,Hepatocyte D,Hepatocyte E,Inflammatory macrophage,NK-like cell,Non-inflammatory macrophage,Periportal LSEC,Portal endothelial cells,Stellate cell,T cell CD3 alpha beta,T cell gamma delta
NECTIN2,0.00601336302895323,0.0458282950423217,0.165523012552301,0.0069221260815822,0.0360202997757583,0.0486783836147246,0.0426111908177905,0.0351714285714286,0.031918137300194,0.0179151943462897,0,0.037556270096463,0.044923139158576,0.0853658536585366,0.0312392979452055,0.00849770642201835,0.00842462180490349
NECTIN3,0,0.0155985489721886,0.109456066945607,0.0118665018541409,0.0781541366694205,0.0687448104068641,0.0588345657212228,0.0883142857142857,0.0758985493855678,0.00872791519434629,0,0.0163344051446945,0.024292071197411,0,0.0370184075342466,0.0114793577981651,0.00998956703182055
NECTIN4,0,0,0.00903765690376569,0.0168108776266996,0,0,0,0,0,0.0263957597173145,0,0,0.00244741100323625,0.00406504065040651,0,0.00620412844036697,0.0094679186228482
NEDD4L,0.00155902004454343,0.00350665054413543,0.0784937238493724,0.00939431396786156,0.012651953263307,0.00923747578189869,0.0109369826729942,0.00802857142857143,0.0123302226739351,0.000247349823321554,0,0.0234083601286174,0.00366100323624595,0,0.0109053938356164,0.0135435779816514,0.00581637976004173
NEFL,0.0171492204899777,0.00471584038694075,0.0157322175732218,0.0131025957972806,0.0102915142216452,0.00674647107666759,0.0132546076591988,0.0128857142857143,0.00900397302041948,0.0129681978798587,0,0.00347266881028939,0.00447006472491909,0,0.00812285958904109,0.0130848623853211,0.0157276995305164
NEGR1,0,0.00108827085852479,0.0224267782426778,0,0.00616074589873716,0.00757680597841129,0.0159033219291469,0.0114571428571429,0.00798761895962302,0.00731448763250883,0,0.0105466237942122,0.0190331715210356,0.00406504065040651,0.00683861301369863,0.0167545871559633,0.00529473135106938
NEIL1,0.0371937639198218,0.0313180169286578,0.0575732217573222,0.0143386897404203,0.0190251386757937,0.037330473290894,0.0462531729389692,0.0311714285714286,0.00891157719671071,0.0193286219081272,0.0475609756097561,0.0201929260450161,0.0234830097087379,0.0284552845528455,0.0190389554794521,0.0160665137614679,0.0235524256651017
NEK6,0.0706013363028953,0.0458282950423217,0.161338912133891,0.0205191594561187,0.131382037058893,0.183746194298367,0.154188279439355,0.151742857142857,0.105834796267209,0.0518374558303887,0.0231707317073171,0.0484887459807074,0.0226739482200647,0.0609756097560976,0.0740475171232877,0.0273050458715596,0.02981220657277
NEK7,0.0884187082405345,0.0349455864570738,0.0818410041841004,0.0427688504326329,0.0297651363153546,0.058642402435649,0.0451495419931575,0.0446,0.026743971172503,0.0518374558303887,0.0475609756097561,0.0311254019292605,0.0586771844660194,0.0447154471544715,0.0389447773972603,0.0119380733944954,0.0924100156494523
NEK9,0.0238307349665924,0.0204353083434099,0.0525523012552301,0.0168108776266996,0.0216216216216216,0.0436963742042624,0.0566273038295994,0.0391714285714286,0.0221241799870646,0.024982332155477,0,0.0272668810289389,0.0307645631067961,0,0.0357341609589041,0.00253440366972477,0.0475482524778299
